lemma,pos,level,english,example_de,example_en,gender,plural,separable,aux,praesens_ich,praesens_er,praeteritum,partizip_ii,perfekt,comparative,superlative,sources_csv,source_notes
Butter,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Butter
Bäckerei,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/B%C3%A4ckerei
bös,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/b%C3%B6s
böse,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/b%C3%B6se
Café,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Caf%C3%A9
CD,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/CD#1
Cent,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Cent
Chef,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Chef
circa,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/circa
Computer,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Computer
da,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/da#1
da,Konj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/da#2
Dank,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Dank
danke,Part,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/danke
danken,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/danken
dann,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/dann
Datum,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Datum
dauern,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/dauern#1
denn,Konj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/denn#1
deutsch,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/deutsch
Deutsche,N,A1,,,,"die, der",,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Deutsche#2
Dezember,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Dezember
dich,Pron,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/dich
Dienstag,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Dienstag
dir,Pron,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/dir
Doktor,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Doktor
Donnerstag,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Donnerstag
Doppelzimmer,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Doppelzimmer
Dorf,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Dorf
dort,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/dort
draußen,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/drau%C3%9Fen
drucken,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/drucken
Drucker,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Drucker
drücken,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/dr%C3%BCcken
durch,Präp,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/durch#1
Durchsage,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Durchsage
Durst,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Durst
Dusche,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Dusche
duschen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/duschen
dürfen,V,A1,"may, to be allowed to",,,,,,,darf,darf,,,,,,dwds-goethe-A1.csv; learn-deutsch-data:modal,https://www.dwds.de/wb/d%C3%BCrfen; DÜR-fen
E-Mail,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/E-Mail
Ecke,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ecke
Ehefrau,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ehefrau
Ehemann,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ehemann
Ei,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ei
eilig,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/eilig
einfach,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/einfach
Eingang,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Eingang
einkaufen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/einkaufen
einladen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/einladen#2
Einladung,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Einladung
einsteigen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/einsteigen
Eintritt,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Eintritt
Einzelzimmer,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Einzelzimmer
Eltern,N,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Eltern
empfehlen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/empfehlen
Empfänger,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Empf%C3%A4nger
Ende,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ende
enden,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/enden
entschuldigen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/entschuldigen
Entschuldigung,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Entschuldigung
Ergebnis,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Ergebnis
erklären,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/erkl%C3%A4ren
erlauben,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/erlauben
Erwachsene,N,A1,,,,"die, der",,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Erwachsene
erzählen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/erz%C3%A4hlen
Essen,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Essen
Euro,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Euro#1
Europäer,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Europ%C3%A4er
europäisch,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/europ%C3%A4isch
Fahrer,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fahrer
Fahrkarte,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fahrkarte
Fahrrad,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fahrrad
falsch,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/falsch
Familie,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Familie
Familienname,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Familienname
Familienstand,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Familienstand
Farbe,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Farbe
Fax,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fax
Februar,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Februar
fehlen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/fehlen#1
Fehler,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fehler
Feierabend,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Feierabend
feiern,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/feiern
Feiertag,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Feiertag
fernsehen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/fernsehen
fertig,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/fertig
Feuer,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Feuer
Fieber,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fieber
Film,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Film
finden,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/finden
Firma,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Firma
Fisch,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fisch
Flasche,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Flasche
Fleisch,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fleisch
Flughafen,N,A1,airport,,,der,Flughäfen,,,,,,,,,,dwds-goethe-A1.csv; learn-deutsch-data:nouns,https://www.dwds.de/wb/Flughafen; Compound nouns take the gender of the last word (der Hafen). The plural often follows the last word's plural form.
Flugzeug,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Flugzeug
Formular,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Formular
Foto,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Foto#1
Frage,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Frage
fragen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/fragen
Frau,N,A1,woman/Mrs.,,,die,Frauen,,,,,,,,,,dwds-goethe-A1.csv; learn-deutsch-data:nouns,"https://www.dwds.de/wb/Frau; Feminine nouns often form the plural by adding ""-en"" or ""-n""."
frei,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/frei
Freitag,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Freitag
Freizeit,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Freizeit
fremd,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/fremd
freuen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/freuen
Freund,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Freund
früher,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/fr%C3%BCher
Frühjahr,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fr%C3%BChjahr
Frühling,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fr%C3%BChling
Frühstück,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fr%C3%BChst%C3%BCck
frühstücken,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/fr%C3%BChst%C3%BCcken
Fuß,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fu%C3%9F
Fußball,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Fu%C3%9Fball
Führung,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/F%C3%BChrung
für,Präp,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/f%C3%BCr#1
Garten,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Garten
Gast,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gast#1
geben,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/geben
Geburtsjahr,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Geburtsjahr
Geburtsort,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Geburtsort
Geburtstag,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Geburtstag
gefallen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/gefallen#1
gegen,Präp,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/gegen
gehören,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/geh%C3%B6ren
gelb,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/gelb
Geld,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Geld
Gemüse,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gem%C3%BCse
Gepäck,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gep%C3%A4ck
gerade,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/gerade#2
geradeaus,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/geradeaus
gerne,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/gerne
Geschenk,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Geschenk
Geschwister,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Geschwister
Geschäft,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gesch%C3%A4ft
Gespräch,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gespr%C3%A4ch
gestern,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/gestern
Getränk,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Getr%C3%A4nk
Gewicht,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gewicht
gewinnen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/gewinnen
Glas,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Glas#1
glauben,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/glauben
gleich,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/gleich#1
gleich,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/gleich#2
Gleis,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gleis
Glück,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gl%C3%BCck
glücklich,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/gl%C3%BCcklich
Glückwunsch,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gl%C3%BCckwunsch
Grad,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Grad
grade,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/grade#2
gradeaus,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/gradeaus
Gramm,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gramm
gratulieren,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/gratulieren
grau,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/grau
grillen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/grillen
groß,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/gro%C3%9F
Großeltern,N,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gro%C3%9Feltern
Großmutter,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gro%C3%9Fmutter
Großvater,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gro%C3%9Fvater
Gruppe,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gruppe
Gruß,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gru%C3%9F
Größe,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Gr%C3%B6%C3%9Fe
grün,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/gr%C3%BCn
gut,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/gut
gültig,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/g%C3%BCltig
günstig,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/g%C3%BCnstig
Haar,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Haar
halb,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/halb
Halbpension,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Halbpension
Halle,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Halle
halten,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/halten
Haltestelle,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Haltestelle
Hand,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hand
Handy,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Handy
Hausaufgabe,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hausaufgabe
Hausfrau,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hausfrau
Hausmann,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hausmann
Heimat,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Heimat
heiraten,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/heiraten
helfen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/helfen
hell,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/hell
Herbst,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Herbst
Herd,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Herd
Herr,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Herr
herzlich,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/herzlich
heut,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/heut
heute,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/heute
hier,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/hier
Hilfe,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hilfe
hinten,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/hinten
Hobby,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hobby
hoch,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/hoch
Hochzeit,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hochzeit#1
holen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/holen
Hotel,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hotel
Hund,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hund#1
Hunger,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Hunger
Hähnchen,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/H%C3%A4hnchen
immer,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/immer
in,Präp,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/in#1
Information,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Information
international,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/international
Internet,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Internet
Jacke,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Jacke
Jahr,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Jahr
Januar,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Januar
jetzt,Adv,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/jetzt
Job,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Job
Jugendliche,N,A1,,,,"die, der",,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Jugendliche
Juli,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Juli
jung,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/jung
Junge,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Junge#1
Juni,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Juni
Kaffee,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kaffee#1
kaputt,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/kaputt
Karte,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Karte
Kartoffel,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kartoffel
Kasse,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kasse
kennen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/kennen
kennen lernen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/kennen%20lernen
kennenlernen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/kennenlernen
Kilo,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kilo
Kilogramm,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kilogramm
Kilometer,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kilometer
Kind,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kind
Kindergarten,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kindergarten
Kino,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kino
Kiosk,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kiosk
klar,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/klar
Klasse,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Klasse
Kleidung,N,A1,,,,die,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kleidung
klein,Adj,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/klein
kochen,V,A1,,,,,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/kochen
Koffer,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Koffer
Kollege,N,A1,,,,der,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Kollege
Konto,N,A1,,,,das,,,,,,,,,,,dwds-goethe-A1.csv,https://www.dwds.de/wb/Konto
